hostname,ip,os_name,os_version,status,eol_date
Unknown-192.168.1.121,192.168.1.121,UNKNOWN,UNKNOWN,UNKNOWN,
DEB13-MSPR1,192.168.1.137,Debian GNU/Linux,13.4,SUPPORTED,2028-08-09
MSPR1-BDD-NTL,192.168.1.138,Debian GNU/Linux,12,SOON_EOL,2026-06-10
MSPR1-BDD-WMS,192.168.1.139,Debian GNU/Linux,12,SOON_EOL,2026-06-10
Unknown-192.168.1.17,192.168.1.17,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.177,192.168.1.177,UNKNOWN,UNKNOWN,UNKNOWN,
dEB13-SERV-MC,192.168.1.180,Debian GNU/Linux,13.4,SUPPORTED,2028-08-09
Unknown-192.168.1.194,192.168.1.194,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.254,192.168.1.254,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.62,192.168.1.62,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.63,192.168.1.63,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.95,192.168.1.95,UNKNOWN,UNKNOWN,UNKNOWN,
DC-01,192.168.1.11,Microsoft Windows Server 2025 Standard,10.0.26100,SUPPORTED,2034-10-10
DC-02,192.168.1.12,Microsoft Windows Server 2025 Standard,10.0.26100,SUPPORTED,2034-10-10
ubuntu-server,192.168.1.152,Ubuntu,25.10,UNKNOWN,
Unknown-192.168.1.182,192.168.1.182,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.183,192.168.1.183,UNKNOWN,UNKNOWN,UNKNOWN,
UBUNTU-24,192.168.1.191,Ubuntu,24.04,UNKNOWN,
Unknown-192.168.1.67,192.168.1.67,UNKNOWN,UNKNOWN,UNKNOWN,
