hostname,ip,os_name,os_version,status,eol_date
DC-01,192.168.1.11,Microsoft Windows Server 2025 Standard,10.0.26100,UNKNOWN,
DC-02,192.168.1.12,Microsoft Windows Server 2025 Standard,10.0.26100,UNKNOWN,
DEB13-MSPR1,192.168.1.137,Debian GNU/Linux,13.3,SUPPORTED,2028-08-09
Unknown-192.168.1.17,192.168.1.17,UNKNOWN,UNKNOWN,UNKNOWN,
dEB13-SERV-MC,192.168.1.180,Debian GNU/Linux,13.3,SUPPORTED,2028-08-09
Unknown-192.168.1.182,192.168.1.182,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.183,192.168.1.183,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.194,192.168.1.194,UNKNOWN,UNKNOWN,UNKNOWN,
Unknown-192.168.1.254,192.168.1.254,UNKNOWN,UNKNOWN,UNKNOWN,
thunderwarmachine,192.168.1.62,Debian GNU/Linux,13.4,SUPPORTED,2028-08-09
prox2,192.168.1.63,Debian GNU/Linux,13.4,SUPPORTED,2028-08-09
Unknown-192.168.1.67,192.168.1.67,UNKNOWN,UNKNOWN,UNKNOWN,
