hostname;ip;os_name;os_version;status;eol_date
Unknown-192.168.1.121;192.168.1.121;UNKNOWN;UNKNOWN;UNKNOWN;
DEB13-MSPR1;192.168.1.137;Debian GNU/Linux;13.4;SUPPORTED;09/08/2028
MSPR1-BDD-NTL;192.168.1.138;Debian GNU/Linux;12;SOON_EOL;10/06/2026
MSPR1-BDD-WMS;192.168.1.139;Debian GNU/Linux;12;SOON_EOL;10/06/2026
Unknown-192.168.1.17;192.168.1.17;UNKNOWN;UNKNOWN;UNKNOWN;
Unknown-192.168.1.177;192.168.1.177;UNKNOWN;UNKNOWN;UNKNOWN;
dEB13-SERV-MC;192.168.1.180;Debian GNU/Linux;13.4;SUPPORTED;09/08/2028
Unknown-192.168.1.194;192.168.1.194;UNKNOWN;UNKNOWN;UNKNOWN;
Unknown-192.168.1.254;192.168.1.254;UNKNOWN;UNKNOWN;UNKNOWN;
Unknown-192.168.1.62;192.168.1.62;UNKNOWN;UNKNOWN;UNKNOWN;
Unknown-192.168.1.63;192.168.1.63;UNKNOWN;UNKNOWN;UNKNOWN;
Unknown-192.168.1.95;192.168.1.95;UNKNOWN;UNKNOWN;UNKNOWN;
DC-01;192.168.1.11;Microsoft Windows Server 2025 Standard;10.0.26100;SUPPORTED;10/10/2034
DC-02;192.168.1.12;Microsoft Windows Server 2025 Standard;10.0.26100;SUPPORTED;10/10/2034
